from,to,asset,asset_contract,amount,amount_raw,decimals,tx_count,tx_hashes
0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,0x4e8e86d17f104c5b0fec2ab03ae6fa01a47c065c,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,15764.9120000000,15764912000,6,2,0xf7178aed9b8d0473092e5608c7989c30460e8322638c47842b785af9697ca8a1;0xbeb0f14ac250db46d6e16cd37e2c0378d20debdbfcedb31fc9c9f078b9347bfd
0x6033a12d2547a143bb48e9f43fd98b05e2931bf0,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,0.1500000000,150000000000000000,18,1,0x5d72d5db3ee57598e82ed517e276d7d01fe3877dcea831f850ed309d46e699da
0x93f7620aedcd2606b6182b6a30882d48c760aedd,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5000000000,500000000000000000,18,2,0x9cebe38a712913509b813efadd104fc88bca4db114a46073ce3ed16ba8491e9c;0x0b80d20c5e19d1e8695d362e4ff19d6e4cee6af9ebef89aacf1be9b86b2ed2e7
0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,0xd98d9b55a8f6178afadb26e10db38273b0a2a074,ETH,,0.1000000000,100000000000000000,18,1,0x09fe74b2c0ac9ac9dfdef60decacf101b566e1a2b7cf83170105fee8d39a7e37
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0xe15a1490b14212a7201aa8eb525f35e96508613c,ETH,,6.0600000000,6060000000000000000,18,2,0x8d34978dce0d74bb3078fac1c45058c7056575f78b163103ae343c8257d65f61;0xab8fb8ea8c5df1182d001c5a180b83ad35c60b2f9a3e54f33e0f4f2017995f09
0xd98d9b55a8f6178afadb26e10db38273b0a2a074,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,23.1000000000,23100000000000000000,18,5,0x86f23504d83a572ba96a252b7e33fb9ed823e0b5b6dd8fea8373221bb42138fb;0x10ff0a151897d031f31a025619a766d772a8dba058083d45d59582af4c2416ce;0x0994b202e7f0961b4fdae003db4b664f94a7a5925cfaaf90d66e3dc0e7483e54;0x51fc8ef1ef85f646ab184c741c03ff853188e7ea4aba2b4e74519d31ba519b15;0xc51eaa732d914b4026b53294a05b4ab45f5391476010e636c0760d89c3a484b0
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x8b9d4a12ad2aa4005317fde2d10b82c96152c906,ETH,,0.0100000000,10000000000000000,18,1,0x52b6023f9e477eea6bed7a224377c8eaa61c7e1db496b6a037a44547f5dee7eb
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x4e8e86d17f104c5b0fec2ab03ae6fa01a47c065c,ETH,,0.1000000000,100000000000000000,18,1,0x61501613c6645416bda3438cedadee2ad82b4da328988350dad3f8bd7deb5816
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x27040de19308d9733b61b21d21c9634e10d7ec17,ETH,,0.1000000000,100000000000000000,18,1,0xf7b3ed1f5945d1ee3d9efb2e1fd5e393b10cf8f21e9eb8340eba2d1454f101ed
0xd1377abde671041fa4f3bae6eb69703c2e0ef883,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5228025513,522802551293979164,18,1,0x87cc7ada7e41270c1f71e6a54c6941d56c370d03701e8d4c8953b90fab76854e
0x382c9f91198dd0334c95089d346933fe1a07c85f,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2003203838,200320383752596971,18,1,0xd966e8300c1e58b4dd97a86c4c7d42534f5213a00bb48afe132ea5e3597b1e83
0xc637d5fc3d6457e547c4faf24161db714347bfa4,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2369504857,236950485741472630,18,1,0x036fdb0b27d2bbf4d58f01baf796669a9f2cc7cb77b6a2ec915810127188caa8
0x0eb62700d5c2cecb80647f4a1c2d66e745c54645,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2043418799,204341879900000000,18,1,0xa64711caf44eafc0e44d7ff04c8e5d5aed2ef3661a8883fe66e4147cb240229e
0x41dcdce162f1cc9582766435209a9cc9b54128b6,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5057464510,505746451037500000,18,1,0xd2d003c3184fda75186bea016771bc954397f01a8318962f57ce469bd4a8ff37
0xe8e16ff4fa518fab6443ce96cebc0a65a3d76bab,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.4000000000,400000000000000000,18,2,0xff51b823377bd2abd533ec0983a661e199a7d1f12e4b61a6b781d181fcfd6873;0xd91761e1425eff45b5713ff7b2029153079be5d16632cbd11e2093cb82ec2500
0x62f3b769a173ea3daf869cb1fdd7965815b43552,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5000000000,500000000000000000,18,1,0xf8df308eb5c464d8c5d94159c49211fcaf9945ede648ed7f16933946adffca70
0xb461c0101b0aeab09bb6895739c7f7b750bf2704,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.8706032400,870603240000000000,18,1,0x89067009a20ad62fa6050a5ea4e6114b13f1bf8963d80eb9f39c57e0cabca292
0xe8e16ff4fa518fab6443ce96cebc0a65a3d76bab,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,7.5000000000,7500000000000000000,18,1,0x2dd062d331d85648eeba10201ef86e2fcc45666d546135804c370f12421af780
0xa9cb8be8ffc2714d180a6b32d6b0eb0ca61e2a47,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.1134645662,113464566180420041,18,1,0x6095a992a5bfa88f1caedf43a6b20ceb507e0cbc6e061bf4eae408fc96531e91
0xcd501a830b97b4e6ff95b87e15e6e3111225dc51,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.0723974242,72397424222035537,18,1,0x90da8fec4b7e6bb5c5e46a64686e6d5410472ac0b93abeedffd2cd36968064bb
0xf8d11bd5555c1a6a9686c32b1baa0219541f5ed2,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.0957573461,95757346133900764,18,1,0xf64084244abc260c2092cd63d7172e988e6592c0e797db54f56bd4205fe8429e
0xa485b0fcb5307e317c03d7c990e18db713ff4bc8,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,1.5000000000,1500000000000000000,18,1,0xda29714b897019498a464bf39b3f0b7886c7a14d439619cadbccc7915803e6b2
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x02d97f2d045c41df8021b664fa9d97ddf36abd96,ETH,,0.1000000000,100000000000000000,18,1,0xaa59014daf81dce11e00d72a2f8f2205c55e97c441b9fbe55a25ef10283a46d9
0x7993876357ff32133b6253481ce5c8928fd58aa0,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,15.0000000000,15000000000000000000,18,1,0x75645c60a606b15c15efa9769f4515b880e93a6cfc72b963029f1108f9ca68c4
0x5fc0970e818941bcacd7d459fed4a39fa9df84e3,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,0.3172607535,317260753519456135,18,1,0xf28f14236851a958815797b670c2b047cca6588d4d8ebdea5e2e39cb05c0f0a6
0x0f3b5c6bf8b2640c92061d7c8721347e6d1a60a7,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2000000000,200000000000000000,18,1,0x223b575c7087ff2d50581b334b3b2ff0cd2f58aa4a050a4c750b3a9e443e887c
0x7668d3eba9bb9e994a760a69dbb1df3a3be6eb82,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2608245807,260824580685718162,18,1,0x6ded1652ac5047c9bcf49107c472a1481e345a89545a1f6c6e48014f54a73a3d
0x1695ccf9536ded7852b805fc05410821d506d000,0xc79e7382acea6141c9056cb808f177162df2969d,ETH,,0.0957525594,95752559366809203,18,1,0xc550d8ba246d893add4b71db169e80aa3a1c51a0db8af38dab6e86bd96a1ca7b
0xd434a1e5cf0709cda8bd9902ec45c058797befdd,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2329245796,232924579610000000,18,1,0x201355dc80e4e88531f97fa8d05596ee01a89e5f69793638f0ad2a45b6dadc43
0x36bf35999adfd97e44045198df92e6a77d95c3aa,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,12.7000000000,12700000000000000000,18,1,0x08ef13f77e86cdb7d1ad97a64c23753d51d4081369ac16f291e0338143d201b1
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x27040de19308d9733b61b21d21c9634e10d7ec17,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,457.2499000000,457249900,6,1,0xc88778992e3524682607dfb5071131ab786c376cbfc6f63e902fbf94733097c2
0x2374ce634073eab21d8256af57000b8dc11f29a1,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5000000000,500000000000000000,18,1,0x1f0378988490decc859e025a8a48e5c864a2b40c80361301a75688aad18c9ab7
0x3eb182c904abbfcdb9e8536e111f1880ea1bcdfb,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,1.0000000000,1000000000000000000,18,1,0x578a529f3a62a2d042c07da866598caa4428bb7b6236602cfef44d32f9a50a08
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0xbff6c71b13bdb13636d5faf4be71934f36572083,ETH,,1.3000000000,1300000000000000000,18,1,0x7b0dcb9ef5947df9447ba3aaa4480209901c6bd47275185217c1432c28f4bb04
0x7f666cb90b0c40c62ab974551309cf6a496cd10b,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.0693827167,69382716657959911,18,1,0x8ef6490551cd460b9aa5bf3b8d2629777a30fdfbc8b4858a6a20a3b14b12e8a3
0xa799c22965a1f34fc1432893115746c33851114a,0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,ETH,,0.3000000000,300000000000000000,18,1,0xcb9c6f287045935328511f13bb6bf595c2aa53a350b76a2a264681b5521a9af1
0xbff6c71b13bdb13636d5faf4be71934f36572083,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,4.9000000000,4900000000000000000,18,4,0x00be2d49e2b68527c436538782b0aa538ddba245e5f948bcb7459c43c347a776;0x588e9466cd884f0cf9b0d894f8be2a2b426681629d279fa1dfe6517cff6451ae;0x74130268de5235b816b699fd749e4071ee2520c215caa44741d21cbbce35bb7e;0xcfdabd3b0b8301f98c1f456c251983805d41be10011cfe283c36b518e07225ea
0xd5d99700eb0ad025039ab771c2ceaf4407eddaf7,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5012630000,501263000026262000,18,2,0xcadaf6777173769168ba137a2f4c3844c70a67d7736f42d92f0f70dddd7e072d;0xcf65f91d0057435ad7485f4a7f61556d18997d15741c097dbef31a3cc5412c1c
0x542cfe8f8a71245142ac06a8a74aab94879e6e83,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.0870957659,87095765909237069,18,1,0x64d246a07ef687768895610639523dfd09dc39224aabbbcb6719a3ef7e433bd2
0x02d97f2d045c41df8021b664fa9d97ddf36abd96,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.1025142212,102514221200000000,18,1,0x56e88624dec4e417b4026755274c0759af46581dd65f0ba46ff66d5535e2391d
0x614bb1e08c6b420c8534c2144453588f7d8c4677,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.3000000000,300000000000000000,18,1,0xc8caa7cbe7c78d9a3f70cab366757cd030199a41774c57bf75d55ed906dcbb23
0x5aac84faf53380fdc0947b19664e980c53a7e1ff,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.3443925832,344392583222494757,18,1,0x7dc77352d13284a2c5be7a1c7124deb4b90b9562988056744878852c79e26980
0x4e8e86d17f104c5b0fec2ab03ae6fa01a47c065c,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,2.4000000000,2400000000000000000,18,3,0x74dc867f83a1f4694ba6943e72af1a7e1686b45d2152bfa2c40b0e7539823b0d;0x17f467e71a385fded375f2367c64ed8824795d596f78b674976bf49589f9ae53;0x8431422c02120e1d3f80a6b1a8b9e71e65c24d09f0e80c61236e471487fb38e0
0x1695ccf9536ded7852b805fc05410821d506d000,0x8b9d4a12ad2aa4005317fde2d10b82c96152c906,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3990.6850000000,3990685000,6,2,0x550b44041389ac89af41f9b1402ca5db2a49c5bf89b159e42a589b501d817541;0xed36da045b310e54b30fa9f0b9b55cce07b5600f426859485e6cdd5bc40cf5fa
0xb7fe86711128ab40b789c925bfca33622f895357,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5000000000,500000000000000000,18,1,0xc89c82883d6aa574a5926e62559ff4fd5ba4311a042295a6633ea5259a97a52c
0x11f35e55c94c5e13a6b5d8bbc9cac0b22aec022d,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2438961692,243896169195490930,18,1,0x382a8aa33e63a6fdd3e145b627becd0e10995891772abdfed3ab8b307ffe2a60
0x6350ddce344c9a0cc993dc9aa8af6b4bf54ad400,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.5000000000,500000000000000000,18,1,0x9ab798323a6129920870a21729e4ffc9a7552138c398428fdf2e3fd207152bed
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x542cfe8f8a71245142ac06a8a74aab94879e6e83,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,457.2499000000,457249900,6,1,0x051b69a35bfde115ff7095044f6d3db4fedeace68f5a99ce63925b06e7b43376
0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,0xb40c23958941e1a39917be532cb54b6e2d879c42,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,76.3665240000,76366524,6,1,0x5e9255db25261034f59015261ab50e7d50b3d6dc2d4d280b64eb5e0a61cd344a
0x570b5377886a4ca028c00e31d10fc9d4b99ddcb0,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.0879211207,87921120716888345,18,1,0x320aeb8b5516a1a6126e12ffc83c8d32ab3d3d27904984bebce8e98a63ca24b2
0x2ee3a6e93fe7ef628f81ba8cddd882e739def480,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.3000000000,300000000000000000,18,1,0x3de0175ff80243bfe43bff179740d91df42eb8ad7f5930a2efde2b9c1277e5d1
0x9825c316cc237be7338d6972ebe34b0cd0be7992,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.0432494513,43249451331866224,18,1,0x7b1c31eb13927842fd4ea4664a11c46877170d96d3c43c4804eef154103e7e71
0x4836e3d6388c57a96b6ff750631949ba685192eb,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.3000000000,300000000000000000,18,1,0xcb9490b4751a3f6b2154892e25ae0a699ba623c5b70816ab9f820d790d7935a5
0x0beed0f627be9fed89b777f485a17a12cf4e4f38,0x143f1ffba28fe2c94e318ab5928483e5c906e444,ETH,,0.0500000000,50000000000000000,18,1,0x06ba93dc74e6660db198f26665f8150231594b5988015eb754dba99e53147032
0x7f5f261408b55b61ba7cd2154fe9c43ea80be09f,0x0beed0f627be9fed89b777f485a17a12cf4e4f38,ETH,,0.2000000000,200000000000000000,18,1,0x7ef9900e1a7b44923723944d73dddc3876b634f98734d2c10716fd2d4c3c2839
